last_prime,cutoff_y,alpha,block_prime_count,beta_error_e_x,beta_error_e_y,q_exact,partial_order,partial_value,remainder_bound,q_upper,q_upper_margin,max_abs_u,scaled_q,scaled_q_upper,induction_f_gap,induction_c_step_max,induction_margin_c_130,induction_margin_c_135,induction_margin_c_140,induction_margin_c_145
12253883,3499,0.5,803099,1.708325438176672e-05,0.0014357245510203676,-0.0014186412965976336,8,-0.0014186413359313105,7.470018329276815e-32,-0.0014186413359313105,-3.933367694053391e-11,0.00028403688099820634,-81.05235386226242,-81.05235610954445,0.0020541906891128866,0.6906083955350604,-0.6093916044649397,-0.6593916044649397,-0.7093916044649395,-0.7593916044649396
12253883,17903,0.6,801537,1.708325438176672e-05,0.0006443949225363177,-0.000627311668120023,8,-0.0006273115882208908,1.1807558007272802e-37,-0.0006273115882208908,7.98991322322612e-11,5.520361067179458e-05,-35.8406930831165,-35.84068851817626,0.0007456888523469998,0.8412511280629643,-0.45874887193703573,-0.5087488719370358,-0.5587488719370356,-0.6087488719370356
12253883,91577,0.7,794734,1.708325438176672e-05,0.0002644072213393578,-0.00024732396691728997,8,-0.00024732398429704565,1.5822288440790832e-43,-0.00024732398429704565,-1.7379755674982317e-11,1.0470372247217696e-05,-14.13055557685794,-14.130556569829249,0.00027173368420548114,0.9101705039630743,-0.38982949603692574,-0.4398294960369258,-0.4898294960369256,-0.5398294960369256
12253883,468389,0.8,764489,1.708325438176672e-05,6.650696019860902e-05,-4.9423705752948965e-05,8,-4.942362708184095e-05,1.0133666781731373e-49,-4.942362708184095e-05,7.867110801240522e-11,1.842946952157476e-06,-2.8237636233203083,-2.823759128541748,9.440272530022352e-05,0.5235402571764941,-0.7764597428235059,-0.826459742823506,-0.8764597428235058,-0.9264597428235058
12253883,2395769,0.9,627593,1.708325438176672e-05,3.176599551180104e-05,-1.4682741124538712e-05,8,-1.4682682991778594e-05,4.5682756830405253e-57,-1.4682682991778594e-05,5.813276011758825e-11,2.495153337278566e-07,-0.8388806473830163,-0.8388773260381102,2.6479625092326793e-05,0.5544898366417321,-0.7455101633582679,-0.795510163358268,-0.8455101633582678,-0.8955101633582678
12253883,3909253,0.93,526379,1.708325438176672e-05,3.167379113477864e-05,-1.4590536680403332e-05,8,-1.4590529781279887e-05,6.382590859299433e-60,-1.4590529781279887e-05,6.89912344545567e-12,1.179347457469504e-07,-0.8336126580388052,-0.8336122638657355,1.5817917272690233e-05,0.9224052401936985,-0.3775947598063015,-0.42759475980630157,-0.4775947598063014,-0.5275947598063014
12253883,5418253,0.95,428059,1.708325438176672e-05,3.397540508354169e-05,-1.6892150633787684e-05,8,-1.6892195248702826e-05,2.956749641609599e-62,-1.6892195248702826e-05,-4.461491514228498e-11,6.473264302364612e-08,-0.9651125862105285,-0.9651151352297191,1.0204294824218281e-05,1.6554005484643457,0.35540054846434566,0.3054005484643456,0.2554005484643458,0.20540054846434574
12253883,7509743,0.97,294708,1.708325438176672e-05,2.2582941688664704e-05,-5.499687218163407e-06,8,-5.499711228629674e-06,2.5110727663342336e-65,-5.499711228629674e-06,-2.401046626671348e-11,2.980550606324073e-08,-0.31421797434448495,-0.31421934615342134,5.546620740415392e-06,0.9915426862623015,-0.3084573137376986,-0.3584573137376986,-0.40845731373769845,-0.4584573137376985
12253883,8841097,0.98,211031,1.708325438176672e-05,2.5133916556008273e-05,-8.050662096827782e-06,8,-8.050666238383834e-06,1.707838739943644e-67,-8.050666238383834e-06,-4.141556052234896e-12,1.7372451921460197e-08,-0.45996483724431103,-0.4599650738671046,3.5236172449364914e-06,2.2847731971889975,0.9847731971889975,0.9347731971889974,0.8847731971889976,0.8347731971889976
12253883,9592889,0.985,164172,1.708325438176672e-05,2.247663535870359e-05,-5.393380918837509e-06,8,-5.393363126069923e-06,6.221512278643399e-69,-5.393363126069923e-06,1.7792767586504864e-11,1.218380263345864e-08,-0.30814429256783343,-0.30814327599958746,2.5804222800791995e-06,2.090108726663291,0.7901087266632911,0.7401087266632911,0.6901087266632913,0.6401087266632912
